124,11,Ж,342,---+++------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
127,11,Ж,343,-+-+----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
128,11,Ж,345,-+------+-+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
128,13,М,106,++--+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
128,11,Ж,337,-+-++-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
128,11,Ж,346,++------+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
128,13,М,103,++-------+--,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
129,11,М,347,++-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
130,11,Ж,343,---++---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
132,11,Ж,338,-+--+-+-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
133,13,М,201,++----+-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
133,13,М,105,-++-+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
133,11,Ж,342,-+++--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
133,13,М,106,++----+-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
133,13,М,104,-++----+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
135,12,М,337,-+-++-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,11,М,347,++-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,11,Ж,337,---++---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,11М,М,342,-+++--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,Ж,506,+---+--+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,Ж,502,++--+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,М,103,-++-+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,11,М,348,++-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,11Б,Ж,338,-+++--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,Ж,101,+++---------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,М,104,++--+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,Ж,103,-++--+------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,13,Ж,502,+-+-+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,11,М,339,++-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,12А,Ж,343,-+-+----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
136,12В,М,338,++-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
121,11,Ж,345,-+++----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
121,13,Ж,347,-+-++-----+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
123,13,М,503,++--+--+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
123,11,Ж,347,-+-+----+-+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
123,11,М,337,+++--------+,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
125,11А,Ж,343,-+++----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
126,11,М,345,+-++----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
127,13,М,338,+-+-----++--,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
127,13,М,105,+++----+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
127,11,Ж,343,-+++----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
128,11,Ж,346,-+-++---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
128,13,М,105,++--+--+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
128,13,М,103,++--+--+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
128,11,Ж,343,-+-+++------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
129,11,М,345,++----+-+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
129,11,М,348,-+-++---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
131,11,Ж,346,++-+----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
132,11,Ж,346,-----+-++-+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
132,11,Ж,338,-++-++------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
132,11,Ж,345,--+++---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
133,11,М,346,++-+------+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
133,11,М,347,-++++-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
133,13,М,104,++--+--+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
133,11,Ж,337,---+++--+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
134,13,Ж,506,+++-+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
135,13,М,103,+++-+-------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),4,18,27
